"start","task","type","description"
"2022-04-28 20:02:51","cleanup-aws","SUCCESS","269733383066"
"2022-04-28 20:02:53","FilterRegions","SUCCESS","ap-northeast-1,us-west-2"
"2022-04-28 20:02:54","FilterRegion","SUCCESS","ap-northeast-1"
"2022-04-28 20:02:56","FilterVPCs","SUCCESS","vpc-0f3887f707831130b"
"2022-04-28 20:02:58","FilterLoadBalancersV2","SUCCESS",""
"2022-04-28 20:03:00","FilterTargetGroups","SUCCESS",""
"2022-04-28 20:03:02","FilterNATGateways","SUCCESS",""
"2022-04-28 20:03:05","FilterInstances","SUCCESS",""
"2022-04-28 20:03:07","FilterLoadBalancers","SUCCESS",""
"2022-04-28 20:03:09","FilterVPCEndpoints","SUCCESS",""
"2022-04-28 20:03:11","FilterNetworkInterfaces","SUCCESS",""
"2022-04-28 20:03:14","FilterRouteTableRules","SUCCESS","rtb-08b6af0ab59b8e97e,rtb-089e90c2e6698f376,rtb-0582809a1cd95d655,rtb-0eeff596555d3dec2"
"2022-04-28 20:04:03","DeleteRouteTableRules","SUCCESS","rtb-08b6af0ab59b8e97e"
"2022-04-28 20:04:08","DeleteRouteTableRules","SUCCESS","rtb-089e90c2e6698f376"
"2022-04-28 20:04:14","DeleteRouteTableRules","SUCCESS","rtb-0582809a1cd95d655"
"2022-04-28 20:04:19","DeleteRouteTableRules","SUCCESS","rtb-0eeff596555d3dec2"
"2022-04-28 20:03:16","FilterRouteTables","SUCCESS","rtb-08b6af0ab59b8e97e,rtb-089e90c2e6698f376,rtb-0582809a1cd95d655,rtb-0eeff596555d3dec2"
"2022-04-28 20:04:25","DeleteRouteTable","SUCCESS","rtb-08b6af0ab59b8e97e"
"2022-04-28 20:03:18","FilterInternetGateways","SUCCESS",""
"2022-04-28 20:03:20","FilterSecurityGroupRules","SUCCESS","sg-05c07a5c8fff83e58"
"2022-04-28 20:04:37","RevokeRules","SUCCESS","sg-05c07a5c8fff83e58"
"2022-04-28 20:03:22","FilterSecurityGroups","SUCCESS",""
"2022-04-28 20:03:23","FilterAddresses","SUCCESS",""
"2022-04-28 20:03:25","FilterSubnets","SUCCESS","subnet-063bdfeaa6c756381,subnet-009d01065ddfc4838,subnet-0a5e56551169debf2"
"2022-04-28 20:04:45","DeleteSubnet","SUCCESS","subnet-063bdfeaa6c756381"
