GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tt-cli,tasktree.marvin,MarvinTask,8,0,0,0,3,0,2,0,2,0
tt-cli,tasktree.visitor,PrintTreeVisitor,67,0,6,0,18,0,6,0,3,0
tt-cli,tasktree.visitor,CSVVisitor,16,11,0,0,4,3,2,1,2,1
tt-cli,tasktree.visitor,SyncReadVisitor,5,3,0,0,2,1,1,1,1,1
tt-cli,tasktree.visitor,SyncWriteVisitor,5,3,0,0,2,1,1,1,1,1
tt-cli,tasktree.visitor,Visitor,2,0,0,0,2,0,2,0,2,0
tt-cli,tasktree.aws,AWSClients,112,0,7,0,24,0,15,0,10,0
tt-cli,tasktree.aws,AWSTask,385,0,34,0,103,0,51,0,34,0
tt-cli,tasktree.aws,AWSResources,87,0,17,0,21,0,18,0,2,0
tt-cli,tasktree.aws.cleanup,DeleteLoadBalancer,28,0,0,0,9,0,3,0,3,0
tt-cli,tasktree.aws.cleanup,FilterRegions,36,0,0,0,15,0,4,0,4,0
tt-cli,tasktree.aws.cleanup,AWSDelete,41,0,2,0,14,0,8,0,7,0
tt-cli,tasktree.aws.cleanup,DeleteVpc,81,0,0,0,11,0,4,0,4,0
tt-cli,tasktree.aws.cleanup,FilterRecords,144,0,4,0,39,0,10,0,8,0
tt-cli,tasktree.aws.cleanup,DeleteRouteTable,119,0,8,0,31,0,13,0,9,0
tt-cli,tasktree.aws.cleanup,DeleteLoadBalancerDescription,28,0,0,0,9,0,3,0,3,0
tt-cli,tasktree.aws.cleanup,FilterRouteTables,77,0,8,0,16,0,10,0,6,0
tt-cli,tasktree.aws.cleanup,TerminateInstance,48,0,2,0,14,0,4,0,3,0
tt-cli,tasktree.aws.cleanup,DeleteRecord,45,0,0,0,16,0,3,0,3,0
tt-cli,tasktree.aws.cleanup,DeleteTargetGroup,28,0,0,0,9,0,3,0,3,0
tt-cli,tasktree.aws.cleanup,DeleteNATGateway,26,0,0,0,8,0,3,0,3,0
tt-cli,tasktree.aws.cleanup,FilterNATGateways,53,0,6,0,11,0,10,0,7,0
tt-cli,tasktree.aws.cleanup,DeleteSubnet,29,0,0,0,8,0,4,0,4,0
tt-cli,tasktree.aws.cleanup,DeleteSecurityGroup,124,0,4,0,37,0,8,0,6,0
tt-cli,tasktree.aws.cleanup,DeleteNetworkInterface,25,0,0,0,7,0,3,0,3,0
tt-cli,tasktree.aws.cleanup,FilterRegion,50,0,0,0,5,0,4,0,4,0
tt-cli,tasktree.aws.cleanup,DeleteVPCEndpoint,30,0,0,0,9,0,3,0,3,0
tt-cli,tasktree.aws.cleanup,FilterSecurityGroups,55,0,6,0,13,0,8,0,5,0
tt-cli,tasktree.aws.cleanup,AWSAccount,9,0,0,0,1,0,2,0,2,0
tt-cli,tasktree.aws.cleanup,FilterInternetGateways,84,0,8,0,16,0,11,0,7,0
tt-cli,tasktree.aws.cleanup,FilterTargetGroups,40,0,0,0,10,0,5,0,5,0
tt-cli,tasktree.aws.cleanup,FilterInstances,89,0,10,0,17,0,12,0,7,0
tt-cli,tasktree.aws.cleanup,FilterLoadBalancers,44,0,0,0,12,0,5,0,5,0
tt-cli,tasktree.aws.cleanup,AWSFilter,50,0,0,0,10,0,6,0,6,0
tt-cli,tasktree.aws.cleanup,FilterLoadBalancersV2,44,0,0,0,11,0,6,0,6,0
tt-cli,tasktree.aws.cleanup,DeleteInternetGateway,66,0,0,0,21,0,7,0,7,0
tt-cli,tasktree.aws.cleanup,FilterSubnets,73,0,4,0,16,0,9,0,7,0
tt-cli,tasktree.aws.cleanup,FilterNetworkInterfaces,77,0,8,0,16,0,10,0,6,0
tt-cli,tasktree.aws.cleanup,FilterVPCEndpoints,77,0,8,0,16,0,10,0,6,0
tt-cli,tasktree.aws.cleanup,ReleaseAddress,25,0,0,0,7,0,3,0,3,0
tt-cli,tasktree.aws.cleanup,FilterVPCs,68,0,4,0,15,0,10,0,8,0
tt-cli,tasktree.aws.cleanup,FilterAddresses,58,0,4,0,12,0,8,0,6,0
tt-cli,tasktree.aws.cleanup,FilterAccount,39,0,0,0,7,0,4,0,4,0
tt-cli,tasktree.spi,Task,103,0,14,0,28,0,15,0,8,0
tt-cli,tasktree.spi,Tasks,340,0,16,0,86,0,29,0,21,0
tt-cli,tasktree,ExecutorProvider,5,0,0,0,2,0,2,0,2,0
tt-cli,tasktree,Main,7,0,0,0,3,0,2,0,2,0
tt-cli,tasktree,TaskManager,83,3,2,0,25,1,6,1,5,1
tt-cli,tasktree,ReadTask,5,0,0,0,2,0,2,0,2,0
tt-cli,tasktree,Loggers,0,9,0,0,0,2,0,2,0,2
tt-cli,tasktree,Configuration,111,18,11,1,35,6,15,3,9,3
tt-cli,tasktree,StreamGobbler,44,0,0,0,10,0,5,0,5,0
tt-cli,tasktree,Configuration.new HashMap() {...},30,0,0,0,5,0,1,0,1,0
tt-cli,tasktree,EmptyTask,8,0,0,0,5,0,2,0,2,0
tt-cli,tasktree,TaskTree,6,19,0,0,2,7,1,4,1,4
tt-cli,tasktree,BaseTask,100,0,0,0,26,0,13,0,13,0
