"start","task","type","description"
"2022-03-23 20:51:49","cleanup-aws","SUCCESS","269733383066"
"2022-03-23 20:51:52","FilterRegions","SUCCESS","ap-northeast-1"
"2022-03-23 20:51:52","FilterRegion","SUCCESS","ap-northeast-1"
"2022-03-23 20:51:54","FilterVPCs","SUCCESS",""
"2022-03-23 20:51:56","FilterTargetGroups","SUCCESS",""
"2022-03-23 20:51:58","FilterLoadBalancersV2","SUCCESS",""
"2022-03-23 20:52:18","FilterNATGateways","SUCCESS",""
"2022-03-23 20:52:19","FilterAddresses","SUCCESS",""
"2022-03-23 20:52:22","FilterInstances","SUCCESS",""
"2022-03-23 20:52:24","FilterRecords","SUCCESS",""
